candidate	claim_id	mechanistic_claim	evidence_level	direct_or_indirect	breast_cancer_specific	ER_positive_specific	tamoxifen_specific	endocrine_resistance_specific	experimental_perturbation	model_system	direction_of_effect	supports_project_hypothesis	contradicts_project_hypothesis	PMID	DOI	year	journal	paper_title	exact_evidence_summary	limitations	review_or_primary	fully_verified_primary_text	is_candidate_specific
CITED2	CITED2-11	In an in vivo genome-wide CRISPR screen, CITED2 was identified as a driver of prostate cancer bone metastasis, validated with an organ-on-a-chip bone-tropism invasion platform.	3	direct	False	False	False	False	genome-wide in vivo CRISPR activation/inhibition screening; organ-on-a-chip functional validation	prostate cancer cell lines/mouse models	CITED2 identified as a driver (tolerance/gain-of-function direction) of bone-tropic metastasis	True	False	38454137	10.1038/s41388-024-02995-5	2024	Oncogene	In vivo genome-wide CRISPR screening identifies CITED2 as a driver of prostate cancer bone metastasis	Bibliographically confirmed (title/authors Arriaga et al./journal/year/PMID/DOI/pages 1303-1315) across two independent sources; a Correction was later issued (PMID 38627522), content of correction not reviewed.	Full text not independently fetched -- bibliographic-level confirmation only; prostate, not breast; methodologically parallel to our own CRISPR-screen approach, which is an analogy, not evidence transfer.	primary	False	True
CITED2	CITED2-12	CITED2 physically binds EP300 and this interaction is required for downstream HSPA6 expression supporting proliferation and survival.	3	direct	False	False	False	False	siRNA CITED2 knockdown; co-IP; immunofluorescence; RNA-seq; HSPA6 rescue	immortalized human spermatogonial stem cell line	CITED2 knockdown -> reduced EP300 protein, reduced HSPA6, reduced proliferation, increased apoptosis; HSPA6 re-expression rescues	True	False	40313859	10.1155/sci/2362489	2025	Stem Cells International	CITED2 Binding to EP300 Regulates Human Spermatogonial Stem Cell Proliferation and Survival Through HSPA6	Co-IP 'confirmed a specific interaction between CITED2 and EP300'; ~75% of CITED2-positive cells co-expressed EP300; knockdown reduced EP300 protein and HSPA6, rescued by HSPA6 restoration.	Normal (non-cancer) human stem cell biology, not breast tissue -- direct physical-interaction evidence for CITED2-EP300 only.	primary	True	True
CITED2	CITED2-13	CONTRADICTION: in colon cancer cells, CITED2 knockdown INCREASES invasiveness (via induced MMP-13) -- the opposite direction from CITED2's pro-invasive role in breast/prostate cancer.	3	direct	False	False	False	False	CITED2 knockdown; gene expression profiling; butyrate (HDAC inhibitor) treatment; ectopic CITED2 re-expression	RKO colon cancer cell line	CITED2 knockdown -> INCREASED invasiveness, MMP-13 induction; ectopic CITED2 arrested growth; butyrate induces CITED2, suppresses MMP-13	False	True	18054336	10.1016/j.febslet.2007.11.072	2007	FEBS Letters	A role for CITED2, a CBP/p300 interacting protein, in colon cancer cell invasion	Bibliographic record confirmed via Semantic Scholar API (authors Bai L, Merchant J). CITED2 knockdown increases invasiveness -- anti-invasive/growth-suppressive role, opposite to breast/prostate literature.	Colon, not breast; full primary text paywalled, mechanistic detail from secondary aggregation only.	primary	False	True
CITED2	CITED2-14	CONTRADICTION: in hepatocellular carcinoma, CITED2 is a direct PPARgamma-induced tumor-suppressor effector -- knockdown increases HCC cell viability/clonogenicity, overexpression suppresses HCC growth -- opposite the oncogenic direction seen in breast cancer.	3	direct	False	False	False	False	CITED2 knockdown and overexpression; PPARgamma agonist (rosiglitazone); ChIP-PCR; viability/clonogenicity/cell-cycle assays	LO2 (immortalized hepatocyte) and Hep3B (HCC) cell lines	CITED2 knockdown -> INCREASED viability/clonogenicity/G1-S transition; overexpression -> SUPPRESSED HCC growth (tumor-suppressive)	False	True	23212831	10.1002/cncr.27865	2013	Cancer	CITED2 is a novel direct effector of peroxisome proliferator-activated receptor gamma in suppressing hepatocellular carcinoma cell growth	Bibliographic record confirmed via Semantic Scholar API. CITED2 identified as 'the most prominent PPARgamma-bound target' among 114 candidates by ChIP-PCR; functions as growth suppressor in this system.	Liver, not breast; full primary text paywalled, mechanistic detail from secondary aggregation only; directly opposite direction to the breast/prostate oncogenic pattern.	primary	False	True
CITED2	CITED2-15	Acute loss of Cited2 impairs Nanog expression and rapidly decreases self-renewal/survival of mouse embryonic stem cells.	3	direct	False	False	False	False	conditional Cre-loxP knockout; RNAi knockdown; ChIP on Nanog promoter	mouse embryonic stem cells	Cited2 loss -> decreased Nanog, impaired self-renewal, spontaneous differentiation within 48h	False	False	25377420	10.1002/stem.1889	2015	Stem Cells	Acute Loss of Cited2 Impairs Nanog Expression and Decreases Self-Renewal of Mouse Embryonic Stem Cells	'significant enrichment of the Nanog proximal promoter' by CITED2 ChIP; Cited2-depleted cells show 'impaired self-renewal capacity.'	Normal mouse ESC biology, not cancer or breast tissue -- background only, no cancer-stem-cell-specific CITED2 breast paper was found.	primary	True	True
VEZF1	VEZF1-01	Vezf1 knockout is embryonic lethal with vascular remodeling defects/hemorrhage; heterozygotes show lymphatic hypervascularization/edema (haploinsufficiency) -- VEZF1 is essential for developmental blood-vessel and lymphatic morphogenesis.	3	direct	False	False	False	False	targeted gene inactivation (Vezf1-null mice), homozygous and heterozygous, analyzed E8.5-birth	mouse, in vivo embryo	Vezf1 loss -> vascular remodeling defects, loss of vascular integrity, hemorrhage (homozygous); lymphatic hypervascularization/edema (heterozygous)	True	False	15882861	10.1016/j.ydbio.2005.04.003	2005	Developmental Biology	Dosage-dependent requirement for mouse Vezf1 in vascular system development	'Homozygous mutant embryos display vascular remodeling defects and loss of vascular integrity leading to localized hemorrhaging.' Heterozygotes: 'lymphatic hypervascularization associated with hemorrhaging and edema in the jugular region.'	Purely developmental mouse embryology, no adult/cancer/vascular-pathology context.	primary	True	True
VEZF1	VEZF1-02	Founding paper: VEZF1 is a zinc-finger transcription factor whose expression is restricted to vascular endothelial cells and their precursors during mouse development.	3	direct	False	False	False	False	none - gene identification/expression cloning, in situ hybridization	mouse embryo, retroviral entrapment vector screen	not applicable (discovery/expression paper)	False	False	9986727	10.1006/dbio.1998.9144	1999	Developmental Biology	Vezf1: a Zn finger transcription factor restricted to endothelial cells and their precursors	Gene-trap screen identified a gene expressed exclusively in vascular endothelial cells/precursors in yolk-sac blood islands, hence 'vascular endothelial zinc finger 1.'	Full text paywalled (ScienceDirect 403); bibliographic details verified via NCBI PubMed esummary, narrative content from secondary search-snippet only.	primary	False	True
VEZF1	VEZF1-03	Vezf1 knockdown reduces endothelial cell proliferation, migration, network formation and in vivo angiogenesis, acting in part through downstream target gene stathmin/OP18.	3	direct	False	False	False	False	antisense oligodeoxynucleotide knockdown of Vezf1 and, separately, stathmin/OP18	cultured endothelial cells + in vivo angiogenesis assay (non-cancer)	Vezf1 knockdown -> decreased EC proliferation/migration/tube formation, increased apoptosis, decreased in vivo angiogenesis (VEZF1 is pro-angiogenic)	True	False	15031128		2004	Arteriosclerosis, Thrombosis, and Vascular Biology	Vascular endothelial zinc finger 1 is involved in the regulation of angiogenesis: possible contribution of stathmin/OP18 as a downstream target gene	AS-ODN knockdown 'significantly inhibited the proliferation, migration, and network formation of cultured ECs as well as angiogenesis in vivo.' Knockdown of stathmin/OP18 phenocopied Vezf1 knockdown.	Non-cancer endothelial system; DOI not independently verified.	primary	False	True
VEZF1	VEZF1-04	Vezf1/DB1 is an endothelial-cell-specific transcription factor that directly regulates the endothelin-1 gene promoter -- one of its earliest identified direct target genes.	3	direct	False	False	False	False	promoter-reporter assays, EMSA (exact perturbation not independently fetched)	endothelial cell lines	VEZF1 activates/regulates endothelin-1 promoter	False	False	11504723	10.1074/jbc.M105166200	2001	Journal of Biological Chemistry	Vezf1/DB1 is an endothelial cell-specific transcription factor that regulates expression of the endothelin-1 promoter	Bibliographic metadata confirmed via PubMed esummary; content drawn from secondary search-engine summaries, not independently fetched full text.	Full text not fetched directly -- mechanistic detail beyond title UNVERIFIED.	primary	False	True
VEZF1	VEZF1-05	VEZF1 is required for normal genomic DNA methylation via direct transcriptional activation of DNA methyltransferase Dnmt3b -- an epigenetic regulatory role, not a heme-metabolism role.	3	direct	False	False	False	False	Vezf1-/- mouse ES cells vs wild-type; rescue by Vezf1 re-expression; ChIP for Vezf1 at Dnmt3b locus	mouse embryonic stem cells	Vezf1 loss -> ~4-fold reduction in Dnmt3b1 transcript -> widespread loss of DNA methylation; re-expression rescues	False	False	18676812	10.1101/gad.1658408	2008	Genes & Development	Vezf1 regulates genomic DNA methylation through its effects on expression of DNA methyltransferase Dnmt3b	'Widespread loss of DNA methylation in Vezf1-/- cells' with a 'fourfold reduction in the Dnmt3b1 transcript.' ChIP identified a functional Vezf1-binding site in Dnmt3b intron 3.	ES cell system; no erythroid/heme-pathway relevance despite VEZF1's HALLMARK_HEME_METABOLISM gene-set co-membership in the project's data -- this paper is about global epigenetic regulation, not erythropoiesis/heme biosynthesis.	primary	True	True
VEZF1	VEZF1-06	VEZF1 directly represses the antiangiogenic factor CITED2 in endothelial cells; loss of VEZF1 causes an endothelial differentiation/survival defect rescued by knocking down CITED2.	3	direct	False	False	False	False	Vezf1-/- mouse ES cells differentiated to endothelial cells; ChIP for Vezf1 at Cited2 promoter; shRNA Cited2 knockdown rescue in Vezf1-/- background	mouse embryonic stem cell-derived endothelial cells	VEZF1 loss -> Cited2 up 4-5 fold, >80% cell death during EC differentiation, reduced tube formation; Cited2 knockdown rescues tube formation	True	False	29794136	10.1074/jbc.RA118.002911	2018	Journal of Biological Chemistry	The transcription factor Vezf1 represses the expression of the antiangiogenic factor Cited2 in endothelial cells	'Vezf1-/- ESCs have significantly increased expression of...Cited2,' 4-5 fold higher than WT; 'over 80% Vezf1-/- cells died' during EC differentiation; 'repression of Cited2...largely rescued the defective tube formation.' ChIP showed direct Vezf1 binding at the Cited2 promoter.	ES-cell-derived EC differentiation model, not adult/tumor vasculature or cancer -- BUT this is an independently documented literature link between two of the project's own four frozen candidates (VEZF1 directly represses CITED2), discovered by the literature search, not assumed by the project's own network analysis (which found no direct interaction between them).	primary	True	True
VEZF1	VEZF1-07	Nuclear RhoB-GTP regulates lineage-specific gene expression in blood vs lymphatic endothelium by controlling VEZF1-mediated transcription; VEZF1 directly regulates VEGFR2, NRP1 (blood-vessel genes) and TIMP3, MMP2, Vasohibin1 (lymphatic genes).	3	direct	False	False	False	False	RhoB-null mice; VEZF1-heterozygous mice; RhoB siRNA/overexpression/dominant-negative in primary human blood/lymphatic ECs; oxygen-induced retinopathy and dermal wounding models; small-molecule VEZF1-DNA-binding inhibitor	mouse (retinopathy, wound healing) + primary human blood/lymphatic endothelial cells	RhoB loss decreases pathological retinal angiogenesis but increases lymphangiogenesis after injury, via altered VEZF1 target-gene expression	False	False		10.1038/ncomms3824	2013	Nature Communications	RhoB controls coordination of adult angiogenesis and lymphangiogenesis following injury by regulating VEZF1-mediated transcription	'Nuclear RhoB-GTP controls expression of distinct gene sets in each endothelial lineage by regulating VEZF1-mediated transcription.' Direct VEZF1 target genes: VEGFR2, NRP1 (blood); TIMP3, MMP2, Vasohibin1 (lymphatic). Tumor relevance mentioned only in discussion ('RhoB can alter tumour formation... but yet promoting tumour angiogenesis'), not tested experimentally.	Closest literature comes to a tumor-angiogenesis link for VEZF1, but only a discussion-level mention -- actual experiments are in ischemic retinopathy and wound healing, non-cancer contexts.	primary	True	True
VEZF1	VEZF1-08	In hepatocellular carcinoma, VEZF1 is an oncoprotein: knockdown suppresses, overexpression promotes, proliferation and metastasis, acting by transcriptionally activating PAQR4; VEZF1 stability is controlled by STUB1-mediated ubiquitination.	3	direct	False	False	False	False	VEZF1 silencing and overexpression in HCC cell lines; STUB1 manipulation	human HCC cell lines and clinical HCC tissue	VEZF1 knockdown -> suppressed proliferation/metastasis; overexpression -> promoted (via PAQR4 transactivation)	True	False	36241701	10.1038/s41417-022-00540-8	2023	Cancer Gene Therapy	VEZF1, destabilized by STUB1, affects cellular growth and metastasis of hepatocellular carcinoma by transcriptionally regulating PAQR4	'VEZF1 has been recognized as an oncoprotein in certain types of cancer.' Silencing suppressed, overexpression promoted, HCC proliferation/metastasis; 'VEZF1 transcriptionally activated...PAQR4.' STUB1 ubiquitinates/destabilizes VEZF1.	Liver cancer only, not breast; no endocrine/estrogen/tamoxifen context; mechanism is entirely non-vascular (PAQR4, not angiogenesis).	primary	True	True
VEZF1	VEZF1-09	In HCC, GFAT1 drives O-GlcNAcylation of VEZF1, stabilizing VEZF1 protein and increasing VEZF1-driven transcription of TNS1, promoting tumor growth/metastasis; a peptide blocking this modification suppresses HCC in vivo.	3	direct	False	False	False	False	GFAT1 WT vs catalytically-dead overexpression; GFAT1 knockdown; OGT/OGA inhibitors; non-glycosylatable VEZF1 mutant; cell-penetrating peptide (CPPtat-V1); xenograft/orthotopic/metastasis mouse models	human HCC cell lines (SNU449, Huh7, PLC/PRF/5, HepG2, MHCC-97H) + HCC mouse models	GFAT1 up -> VEZF1 O-GlcNAcylation up -> VEZF1 ubiquitination down/stability up -> TNS1 up -> HCC proliferation/invasion/metastasis up; CPPtat-V1 reverses and suppresses HCC in vivo	True	False	40858565	10.1038/s41419-025-07975-5	2025	Cell Death & Disease	GFAT1 promotes the progression of hepatocellular carcinoma via enhancing the O-GlcNAcylation of VEZF1	ChIP-Seq/RNA-Seq identified TNS1 as a VEZF1 target; non-glycosylatable VEZF1 mutant showed 'shortened half-life and increased ubiquitination.' CPPtat-V1 'significantly suppressed HCC progression' in vivo.	Liver cancer, not breast; the 'stress' link is a general nutrient/hexosamine metabolic-flux-sensing pathway, not drug/therapy stress or hypoxia; no endocrine relevance.	primary	True	True
VEZF1	VEZF1-10-DMTN-NULL	No documented physical, transcriptional-regulatory, or functional relationship between VEZF1 and DMTN (dematin) was found anywhere in the accessible literature -- searched exhaustively and confirmed absent.	5	not applicable	False	False	False	False	none - exhaustive search, no paper exists	not applicable	not applicable	False	False					(no paper found -- explicit negative result)	Searches for 'VEZF1 DMTN' / 'VEZF1 dematin' returned only unrelated dematin papers (erythrocyte membrane, malaria) and unrelated VEZF1 papers (Dnmt3b), zero cross-mentions. The closest VEZF1-blood-lineage paper (Das et al. 2023, ETV2-VEZF1 hematoendothelial interaction, DOI 10.3389/fcell.2023.1109648) was directly checked and contains no mention of erythroid genes, heme metabolism, or DMTN/dematin -- only endothelial/early hematopoietic markers.	Absence of evidence in searchable literature is not proof of absence in unpublished/paywalled data, but no relationship is documented in any accessible source checked. Project's VEZF1-DMTN link is a pathway co-membership (gene-set) inference only, not a validated biological relationship.	not applicable	True	True
VEZF1	VEZF1-11-BREAST-NULL	Human Protein Atlas pan-cancer (TCGA) survival analysis finds VEZF1 a significant prognostic marker (p<0.001) in liver, lung, and renal cancers, but breast cancer does NOT meet that significance threshold -- no bulk-tumor prognostic signal for VEZF1 in breast cancer at the population level.	4	indirect	True	False	False	False	none - correlative only (TCGA/GEO expression vs survival)	human tumor cohorts (TCGA/GEO), bulk expression database	unfavorable in LIHC/LUAD/KICH; favorable in KIRC; no significant association for breast cancer	False	False				Human Protein Atlas (database resource)	(database resource, not a paper)	'VEZF1 is a prognostic marker in:' LIHC, LUAD, KICH, KIRC (all p<0.001); breast cancer included in the general expression panel but not listed among prognostic cancers.	Bulk pan-cancer resource, not breast-specific or subtype-stratified; does not test ER+ subgroup, tamoxifen-treated cohorts, or resistant/recurrent disease specifically -- a null result here does not rule out a role restricted to a resistant/recurrent subpopulation, which is what the project's own GSE240112 finding addresses.	not applicable (database)	True	True
USP34	USP34-01	USP34 deubiquitinates AXIN1, opposing tankyrase/RNF146-dependent PARsylation-driven ubiquitination, promoting AXIN1 nuclear accumulation, which is REQUIRED FOR (positively regulates, not inhibits) beta-catenin-mediated transcription.	3	direct	False	False	False	False	siRNA/shRNA USP34 knockdown; catalytically-dead USP34 (C1903S) mutant; co-AP + LC-MS/MS of AXIN complexes; K48 ubiquitin-chain cleavage/deubiquitination assays; cycloheximide-chase for AXIN1 stability; IF for AXIN1 nuclear localization; TOPFlash/TCF luciferase reporter; qPCR for NKD1/TNFRSF19	HEK293T; RKO/SW480/HCT116 (human colorectal carcinoma); no breast cell line	USP34 knockdown -> AXIN1 degraded -> DECREASED Wnt3A-induced TOPFlash reporter and NKD1/TNFRSF19 target-gene expression; also inhibited constitutive beta-catenin signaling in RKO cells. USP34 = positive regulator of canonical Wnt/beta-catenin transcriptional output.	True	False	21383061	10.1128/mcb.01094-10	2011	Molecular and Cellular Biology	The ubiquitin-specific protease USP34 regulates axin stability and Wnt/beta-catenin signaling	'Analysis of purified axin-containing protein complexes by liquid chromatography-tandem mass spectrometry revealed the presence of the ubiquitin protease USP34... USP34 functions downstream of the beta-catenin destruction complex to control the stability of axin and opposes its tankyrase-dependent ubiquitination... interfering with USP34 function by RNA interference leads to the degradation of axin and to the inhibition of beta-catenin-mediated transcription.' Discussion: USP34 'is required at a step subsequent to beta-catenin stabilization' and 'positively modulate[s] Wnt signaling.'	No breast tissue/cell line; no in vivo/tumor model in this paper; discovered via unbiased AXIN interactome MS, not a targeted breast-cancer hypothesis test. NOTE: multiple secondary sources (a 2020 review, PMC7311976) mischaracterize this mechanism as Wnt-INHIBITORY (likely conflating USP34 with USP7); the primary source, verified 3 independent ways (abstract, TOPFlash data, target-gene qPCR), is unambiguous that USP34 loss DECREASES Wnt output.	primary	True	True
